timestamp,alert_level,air_quality_value,category,message
2026-06-11 17:15:34,WARNING,101,Poor,"WARNING: Poor air quality detected (AQI: 101). Sensitive groups may experience effects"
2026-06-11 17:15:49,WARNING,108,Poor,"WARNING: Poor air quality detected (AQI: 108). Sensitive groups may experience effects"
2026-06-11 17:15:54,CRITICAL,192,Poor,"SMOKE ALERT: High smoke levels detected (154 ppm)!"
2026-06-11 17:20:54,WARNING,111,Poor,"WARNING: Poor air quality detected (AQI: 111). Sensitive groups may experience effects"
2026-06-11 17:20:56,WARNING,104,Poor,"WARNING: Poor air quality detected (AQI: 104). Sensitive groups may experience effects"
2026-06-11 17:20:58,WARNING,103,Poor,"WARNING: Poor air quality detected (AQI: 103). Sensitive groups may experience effects"
2026-06-11 17:21:00,WARNING,111,Poor,"WARNING: Poor air quality detected (AQI: 111). Sensitive groups may experience effects"
2026-06-11 17:21:02,WARNING,101,Poor,"WARNING: Poor air quality detected (AQI: 101). Sensitive groups may experience effects"
2026-06-11 17:32:20,WARNING,123,Poor,"WARNING: Poor air quality detected (AQI: 123). Sensitive groups may experience effects"
2026-06-11 17:32:22,WARNING,118,Poor,"WARNING: Poor air quality detected (AQI: 118). Sensitive groups may experience effects"
2026-06-11 17:32:24,CRITICAL,209,Unhealthy,"SMOKE ALERT: High smoke levels detected (167 ppm)!"
2026-06-11 17:32:26,CRITICAL,200,Poor,"SMOKE ALERT: High smoke levels detected (160 ppm)!"
2026-06-11 17:32:28,CRITICAL,190,Poor,"SMOKE ALERT: High smoke levels detected (152 ppm)!"
2026-06-11 17:32:30,CRITICAL,322,Hazardous,"SMOKE ALERT: High smoke levels detected (257 ppm)!"
2026-06-11 17:32:32,CRITICAL,334,Hazardous,"SMOKE ALERT: High smoke levels detected (267 ppm)!"
2026-06-11 17:32:34,CRITICAL,327,Hazardous,"SMOKE ALERT: High smoke levels detected (262 ppm)!"
2026-06-11 17:32:37,CRITICAL,340,Hazardous,"SMOKE ALERT: High smoke levels detected (272 ppm)!"
2026-06-11 17:32:39,CRITICAL,349,Hazardous,"SMOKE ALERT: High smoke levels detected (279 ppm)!"
2026-06-11 17:32:41,CRITICAL,351,Hazardous,"SMOKE ALERT: High smoke levels detected (281 ppm)!"
2026-06-11 17:32:43,CRITICAL,356,Hazardous,"SMOKE ALERT: High smoke levels detected (285 ppm)!"
2026-06-11 17:32:45,CRITICAL,342,Hazardous,"SMOKE ALERT: High smoke levels detected (273 ppm)!"
2026-06-11 17:32:47,CRITICAL,337,Hazardous,"SMOKE ALERT: High smoke levels detected (269 ppm)!"
2026-06-11 17:32:49,CRITICAL,329,Hazardous,"SMOKE ALERT: High smoke levels detected (263 ppm)!"
2026-06-11 17:32:51,CRITICAL,330,Hazardous,"SMOKE ALERT: High smoke levels detected (264 ppm)!"
2026-06-11 17:32:53,CRITICAL,321,Hazardous,"SMOKE ALERT: High smoke levels detected (257 ppm)!"
2026-06-11 17:32:56,CRITICAL,323,Hazardous,"SMOKE ALERT: High smoke levels detected (258 ppm)!"
2026-06-11 17:32:58,CRITICAL,312,Hazardous,"SMOKE ALERT: High smoke levels detected (249 ppm)!"
2026-06-11 17:33:00,CRITICAL,310,Hazardous,"SMOKE ALERT: High smoke levels detected (248 ppm)!"
2026-06-11 17:33:02,CRITICAL,297,Unhealthy,"SMOKE ALERT: High smoke levels detected (237 ppm)!"
2026-06-11 17:33:04,CRITICAL,290,Unhealthy,"SMOKE ALERT: High smoke levels detected (232 ppm)!"
2026-06-11 17:33:06,CRITICAL,290,Unhealthy,"SMOKE ALERT: High smoke levels detected (232 ppm)!"
2026-06-11 17:33:09,CRITICAL,293,Unhealthy,"SMOKE ALERT: High smoke levels detected (235 ppm)!"
2026-06-11 17:33:11,CRITICAL,301,Hazardous,"SMOKE ALERT: High smoke levels detected (241 ppm)!"
2026-06-11 17:33:13,CRITICAL,314,Hazardous,"SMOKE ALERT: High smoke levels detected (251 ppm)!"
2026-06-11 17:33:15,CRITICAL,312,Hazardous,"SMOKE ALERT: High smoke levels detected (249 ppm)!"
2026-06-11 17:33:17,CRITICAL,319,Hazardous,"SMOKE ALERT: High smoke levels detected (255 ppm)!"
2026-06-11 17:33:19,CRITICAL,313,Hazardous,"SMOKE ALERT: High smoke levels detected (250 ppm)!"
2026-06-11 17:33:21,CRITICAL,326,Hazardous,"SMOKE ALERT: High smoke levels detected (261 ppm)!"
2026-06-11 17:33:23,CRITICAL,331,Hazardous,"SMOKE ALERT: High smoke levels detected (264 ppm)!"
2026-06-10 17:52:55,WARNING,129,Poor,"WARNING: Poor air quality detected (AQI: 129). Sensitive groups may experience effects"
2026-06-10 18:52:55,WARNING,112,Poor,"WARNING: Poor air quality detected (AQI: 112). Sensitive groups may experience effects"
2026-06-10 19:52:55,WARNING,147,Poor,"WARNING: Poor air quality detected (AQI: 147). Sensitive groups may experience effects"
2026-06-10 20:52:55,WARNING,228,Unhealthy,"CO2 ALERT: Elevated CO2 levels (1038 ppm). Ensure proper ventilation!"
2026-06-11 07:52:55,WARNING,175,Poor,"WARNING: Poor air quality detected (AQI: 175). Sensitive groups may experience effects"
2026-06-11 08:52:55,WARNING,159,Poor,"WARNING: Poor air quality detected (AQI: 159). Sensitive groups may experience effects"
2026-06-11 09:52:55,WARNING,129,Poor,"WARNING: Poor air quality detected (AQI: 129). Sensitive groups may experience effects"
2026-06-11 11:52:55,WARNING,213,Unhealthy,"CO2 ALERT: Elevated CO2 levels (1185 ppm). Ensure proper ventilation!"
2026-06-11 14:52:55,WARNING,248,Unhealthy,"CO2 ALERT: Elevated CO2 levels (1088 ppm). Ensure proper ventilation!"
2026-06-11 17:52:55,WARNING,144,Poor,"WARNING: Poor air quality detected (AQI: 144). Sensitive groups may experience effects"
