timestamp,air_quality,temperature_c,humidity_percent,smoke_ppm,co2_ppm
2026-06-10 17:52:55,129,28.4,49.2,76,633
2026-06-10 18:52:55,112,29.8,43.2,97,641
2026-06-10 19:52:55,147,31.9,53.8,99,720
2026-06-10 20:52:55,228,36.3,42.4,103,1038
2026-06-10 21:52:55,28,20.8,58.2,50,415
2026-06-10 22:52:55,74,21.7,54.9,39,427
2026-06-10 23:52:55,37,26.2,56.2,16,448
2026-06-11 00:52:55,27,22.0,60.6,25,473
2026-06-11 01:52:55,65,20.5,58.7,31,437
2026-06-11 02:52:55,77,21.3,50.8,11,415
2026-06-11 03:52:55,37,23.3,58.8,27,462
2026-06-11 04:52:55,79,27.3,47.0,23,458
2026-06-11 05:52:55,67,27.1,52.3,33,420
2026-06-11 06:52:55,71,26.4,57.1,37,404
2026-06-11 07:52:55,175,31.3,46.5,87,530
2026-06-11 08:52:55,159,28.5,48.2,70,574
2026-06-11 09:52:55,129,29.2,40.2,87,778
2026-06-11 10:52:55,48,21.6,50.2,23,427
2026-06-11 11:52:55,213,32.8,47.4,146,1185
2026-06-11 12:52:55,41,23.4,64.5,28,494
2026-06-11 13:52:55,76,22.4,62.3,10,406
2026-06-11 14:52:55,248,37.3,46.0,184,1088
2026-06-11 15:52:55,21,21.9,45.6,26,412
2026-06-11 16:52:55,47,27.4,59.9,15,446
2026-06-11 17:52:55,144,28.3,53.2,59,667
